,Day,Month,Year,1St,2ตัวบน,3ตัวบน,2ตัวล่าง,3ตัวหน้า1,3ตัวหน้า2,3ตัวล่าง1,3ตัวล่าง,2ตัวบน_100,2ตัวบน_10,2ตัวบน_1,3ตัวบน_100,3ตัวบน_10,3ตัวบน_1,2ตัวล่าง_100,2ตัวล่าง_10,2ตัวล่าง_1,3ตัวหน้า1_100,3ตัวหน้า1_10,3ตัวหน้า1_1,3ตัวหน้า2_100,3ตัวหน้า2_10,3ตัวหน้า2_1,3ตัวล่าง1_100,3ตัวล่าง1_10,3ตัวล่าง1_1,3ตัวล่าง_100,3ตัวล่าง_10,3ตัวล่าง_1
688,1,3,2535,7291524,24,524,60,870,902,24,231,0,2,4,5,2,4,0,6,0,8,7,0,9,0,2,0,2,4,2,3,1
689,16,2,2535,1868701,1,701,94,641,849,349,599,0,0,1,7,0,1,0,9,4,6,4,1,8,4,9,3,4,9,5,9,9
690,1,2,2535,5986924,24,924,63,936,952,683,944,0,2,4,9,2,4,0,6,3,9,3,6,9,5,2,6,8,3,9,4,4
691,16,1,2535,1149428,28,428,18,34,543,672,132,0,2,8,4,2,8,0,1,8,0,3,4,5,4,3,6,7,2,1,3,2
692,30,12,2534,3208301,1,301,76,318,87,182,917,0,0,1,3,0,1,0,7,6,3,1,8,0,8,7,1,8,2,9,1,7
693,16,12,2534,7241436,36,436,88,613,667,717,597,0,3,6,4,3,6,0,8,8,6,1,3,6,6,7,7,1,7,5,9,7
694,1,12,2534,1470741,41,741,5,540,794,6,602,0,4,1,7,4,1,0,0,5,5,4,0,7,9,4,0,0,6,6,0,2
695,16,11,2534,4373528,28,528,8,979,477,937,643,0,2,8,5,2,8,0,0,8,9,7,9,4,7,7,9,3,7,6,4,3
696,1,11,2534,7894285,85,285,78,516,537,183,272,0,8,5,2,8,5,0,7,8,5,1,6,5,3,7,1,8,3,2,7,2
697,16,10,2534,2078202,2,202,38,585,566,338,314,0,0,2,2,0,2,0,3,8,5,8,5,5,6,6,3,3,8,3,1,4
698,1,10,2534,2730444,44,444,96,978,318,977,928,0,4,4,4,4,4,0,9,6,9,7,8,3,1,8,9,7,7,9,2,8
699,16,9,2534,4790449,49,449,18,114,298,220,381,0,4,9,4,4,9,0,1,8,1,1,4,2,9,8,2,2,0,3,8,1
700,1,9,2534,6700430,30,430,49,81,237,661,119,0,3,0,4,3,0,0,4,9,0,8,1,2,3,7,6,6,1,1,1,9
701,16,8,2534,3746551,51,551,89,845,377,44,182,0,5,1,5,5,1,0,8,9,8,4,5,3,7,7,0,4,4,1,8,2
702,1,8,2534,6580541,41,541,11,459,509,753,947,0,4,1,5,4,1,0,1,1,4,5,9,5,0,9,7,5,3,9,4,7
703,16,7,2534,1671946,46,946,62,822,846,951,882,0,4,6,9,4,6,0,6,2,8,2,2,8,4,6,9,5,1,8,8,2
704,1,7,2534,4441724,24,724,58,771,134,196,766,0,2,4,7,2,4,0,5,8,7,7,1,1,3,4,1,9,6,7,6,6
705,16,6,2534,5364632,32,632,91,370,785,761,268,0,3,2,6,3,2,0,9,1,3,7,0,7,8,5,7,6,1,2,6,8
706,1,6,2534,2496376,76,376,77,318,303,485,804,0,7,6,3,7,6,0,7,7,3,1,8,3,0,3,4,8,5,8,0,4
707,16,5,2534,2532303,3,303,63,931,269,688,802,0,0,3,3,0,3,0,6,3,9,3,1,2,6,9,6,8,8,8,0,2
708,2,5,2534,4222124,24,124,63,536,296,630,836,0,2,4,1,2,4,0,6,3,5,3,6,2,9,6,6,3,0,8,3,6
709,16,4,2534,4824037,37,37,57,565,711,970,206,0,3,7,0,3,7,0,5,7,5,6,5,7,1,1,9,7,0,2,0,6
710,1,4,2534,1606864,64,864,3,819,416,103,8,0,6,4,8,6,4,0,0,3,8,1,9,4,1,6,1,0,3,0,0,8
711,16,3,2534,5891641,41,641,59,540,715,527,866,0,4,1,6,4,1,0,5,9,5,4,0,7,1,5,5,2,7,8,6,6
712,1,3,2534,4598076,76,76,72,950,783,676,928,0,7,6,0,7,6,0,7,2,9,5,0,7,8,3,6,7,6,9,2,8
713,16,2,2534,3223780,80,780,33,992,658,242,596,0,8,0,7,8,0,0,3,3,9,9,2,6,5,8,2,4,2,5,9,6
714,1,2,2534,5396496,96,496,75,79,455,458,87,0,9,6,4,9,6,0,7,5,0,7,9,4,5,5,4,5,8,0,8,7
715,16,1,2534,5328736,36,736,29,649,645,225,388,0,3,6,7,3,6,0,2,9,6,4,9,6,4,5,2,2,5,3,8,8
716,30,12,2533,2190949,49,949,5,516,367,330,962,0,4,9,9,4,9,0,0,5,5,1,6,3,6,7,3,3,0,9,6,2
717,16,12,2533,4407799,99,799,21,708,359,171,238,0,9,9,7,9,9,0,2,1,7,0,8,3,5,9,1,7,1,2,3,8
718,1,12,2533,4771944,44,944,88,237,586,692,444,0,4,4,9,4,4,0,8,8,2,3,7,5,8,6,6,9,2,4,4,4
719,16,11,2533,1226536,36,536,6,426,20,721,50,0,3,6,5,3,6,0,0,6,4,2,6,0,2,0,7,2,1,0,5,0
720,1,11,2533,4380230,30,230,82,694,516,619,829,0,3,0,2,3,0,0,8,2,6,9,4,5,1,6,6,1,9,8,2,9
721,16,10,2533,5626303,3,303,56,351,928,923,431,0,0,3,3,0,3,0,5,6,3,5,1,9,2,8,9,2,3,4,3,1
722,1,10,2533,5738808,8,808,37,43,977,58,748,0,0,8,8,0,8,0,3,7,0,4,3,9,7,7,0,5,8,7,4,8
723,16,9,2533,5202390,90,390,55,461,211,85,747,0,9,0,3,9,0,0,5,5,4,6,1,2,1,1,0,8,5,7,4,7
724,1,9,2533,1622380,80,380,83,862,938,161,639,0,8,0,3,8,0,0,8,3,8,6,2,9,3,8,1,6,1,6,3,9
725,16,8,2533,1671935,35,935,43,325,746,361,644,0,3,5,9,3,5,0,4,3,3,2,5,7,4,6,3,6,1,6,4,4
726,1,8,2533,1867185,85,185,92,579,70,973,445,0,8,5,1,8,5,0,9,2,5,7,9,0,7,0,9,7,3,4,4,5
727,16,7,2533,3814178,78,178,11,342,619,112,770,0,7,8,1,7,8,0,1,1,3,4,2,6,1,9,1,1,2,7,7,0
728,1,7,2533,1076835,35,835,43,43,641,38,295,0,3,5,8,3,5,0,4,3,0,4,3,6,4,1,0,3,8,2,9,5
729,16,6,2533,3530344,44,344,65,878,144,198,371,0,4,4,3,4,4,0,6,5,8,7,8,1,4,4,1,9,8,3,7,1
730,1,6,2533,2355474,74,474,72,118,115,227,492,0,7,4,4,7,4,0,7,2,1,1,8,1,1,5,2,2,7,4,9,2
731,16,5,2533,5071272,72,272,34,565,815,942,465,0,7,2,2,7,2,0,3,4,5,6,5,8,1,5,9,4,2,4,6,5
732,2,5,2533,5898868,68,868,1,186,644,668,78,0,6,8,8,6,8,0,0,1,1,8,6,6,4,4,6,6,8,0,7,8
733,16,4,2533,5092890,90,890,84,664,59,912,489,0,9,0,8,9,0,0,8,4,6,6,4,0,5,9,9,1,2,4,8,9
734,1,4,2533,4734251,51,251,39,301,637,195,717,0,5,1,2,5,1,0,3,9,3,0,1,6,3,7,1,9,5,7,1,7
735,16,3,2533,3240205,5,205,88,443,275,775,559,0,0,5,2,0,5,0,8,8,4,4,3,2,7,5,7,7,5,5,5,9
736,1,3,2533,4968902,2,902,15,624,452,87,567,0,0,2,9,0,2,0,1,5,6,2,4,4,5,2,0,8,7,5,6,7
737,16,2,2533,3732892,92,892,1,889,596,386,601,0,9,2,8,9,2,0,0,1,8,8,9,5,9,6,3,8,6,6,0,1
738,1,2,2533,1078496,96,496,82,756,481,259,104,0,9,6,4,9,6,0,8,2,7,5,6,4,8,1,2,5,9,1,0,4
739,16,1,2533,3992239,39,239,97,898,234,288,284,0,3,9,2,3,9,0,9,7,8,9,8,2,3,4,2,8,8,2,8,4
